1,Left piece has major connectivity issues with tje charging dock. Won't connect to the dock on te first try. Needed some squuezing to get it connected. Plus left earpiece has no base and has a dead microphone. Normal sound worked great with left piece and the right piece is working well. You can't expect the highest quality sound with this. But gets the job done. Worth for the price. Recommended to anyone who like to gamble with ears.😅
2,"හොඳ සද්ද ගුණාත්මකභාවයක් තියෙනවා. Bass සහ treble balance හොඳයි. Battery life දිගු, charge එකක් දාලා දිගු වේලාවක් භාවිතා කරන්න පුළුවන්. Bluetooth connect වෙන්නේ ඉක්මනින්. දර්ශනයත් සුපිරි, මිලට වඩා ගුණාත්මකයි."
3,Best product.... Highly recommended.. Package received 2 days... Long battery life...
4,good product recommended 💯
5,good saves 😀😀😀😀😀
6,really very good this product. I am 100% satisfied with this one. good sound quality The rechargeable battery level is ultra level. very very superb product. I highly recommend this one.
7,நம்பி வாங்காதிங்க நண்பர்களே DON'T BUY THIS PRODUCT WORST POOR QUALITY
8,superb
9,supiriyak👍
10,recommend 💜
11,මෙකනම් සුපිරි❤️‍🔥 මට එක දවසින් ආවා 🥰🤑 මේකේ බේස් එකත් සුපිරි ❤️‍🔥😳 බය නැතුව ගන්න පුලුවන්❤️❤️❤️❤️
12,good and value for money.
13,Good Sound quality Received a day after ordering Fast delivery
14,සුපිරිම සුපිරි ....❤️👍👍👍👍 මේ ගානටනම් කිසිම පාඩුවක් නැ ...ඩිලිවරි එකත් සුපිරි....මට ඉක්මනටම ආවා...👍🙂කිසිම බයක් නැතුව ඔයාලටත් ගන්න පුලුවන්.....සුපිරි බැටරි ලයිෆ් එකක් තියනවා...☺️☺️... ඉක්මනටම ගන්න තරමට වාසි .......කිසිම පාඩුවක් නැ.මේකනම් සුපිරීම සුපිරි.....👍👍👍👍☺️☺️☺️☺️☺️
15,Good.
16,"seller Slow response but, Good Earbuds 👍 Thanks"
17,"OMGODDD THIS SOUNDS LIKE SAMSUNG GALAXY EARBUDS AND THE BASS AND THE VOICES ARE VERY CLEAR AND THE SOUNDS QAULITY JUST I LOVE IT , BRUH IT IS THE MOST WORTH THING I GOT FOR THIS KIND OF PRICE , WORTH. IT ♥️♥️💯. I REALLY DO RECOMMEND THIS SELLER HE IS THE DEALER😎"
18,#win good condition
19,super delivery & super quality & working condition better & super seller service & best product Thankyou Daraz By Thushanth
20,தரம் நன்றாக உள்ளது Bass அருமையாக உள்ளது. Earbuds சற்று பெரிது போன்று உள்ளது. தொடர்ந்து பாவிக்கும்பொழுது காது வலி ஏற்படுகின்றது. இதனை தவிர தரத்தில் குறை எதுவும் இல்லை. #win
21,"Meka patta🔥 kisi aulak na ,sound supiriy baya nathuva ganna gevana ganata vatinava , #WIN"
22,"හොඳට බේස් තියනවා, ගෙවන මුදලට ඉතා හොඳ තත්වයේ භාන්ඩක් ලැබුනා. ඔනි කෙනෙකුට ගන්න කියලා කියන්න පුලුවන් බය නැතිව හොඳට වැඩ කරනවා."
23,product එක නම් ගින්දර delivery එකත් පට්ට ඉක්මනින් ආව දවස් 2 යි.සුපිරි කිසිම ප්‍රශ්නයක් නෑ ගන්න කියලා recommend කරනවා ⚡❤️
24,ඇත්තටම හොද ප්‍රඩක්ට් එකක් 😊 බය නැතුව ගන්න . bass කොලිටි sound පට්ට කොලිටි ගෙවන ගානට rgb light එහෙමත් තියෙ එ නිස තවත් ලස්සනයි . usb එකෙන් ස්මර්ට් පෝන් චාර්ජ් කරන්න බැ .පොඩි එකක් වගෙනම් පුලුවන් 😊👌 බය නැතුව ගන්න ..
25,sound quality is ok for the price battery is meh touch sensors are great screen is great product quality - 7.8/10
26,sounds good but bass & quality of sound not satisfying.. for calling ok. but for music 😔 not good enough.. anyway working perfectly..
27,මමත් එකක් ගත්තා වැඩක් නෑ🤢 airpods දෙකේ බේස් නෑ😡 pods එකක් පොඩ්ඩක් තැලිලා වගේ ඒ අවුල් දෙක තිබ්බෙ නැත්තන් airpods දෙක හොදයි 🙂
28,Sound quality ✅ Bass ✅ Fast delivery ✅ Truly satisfied with this product. Really valuable for it's price range... Highly recommended 🔥
29,Quality is slightly lower than some of the same M10 model earbuds. But sound and battery is good enough for the price.
30,ඇත්තටම සුපිරි product එකක් sound එකත් හොදට තියෙනවා චාර්ජ් වෙන ප්‍රමාණෙත් පේන නිසා තවත් සුපිරියි. 😌🔥
31,i think it's really good . I can recommend it . I'm really happy. for the price it is really really good.
32,Mn 3k gatta but 2k witheai hoda anith eka charge wenneh mt eka return karanna one kohomd krnne 18% thama thiyenne kochchara charge karath
33,හොදට පැකින් කරලා තිබ්බා වගේම ඉක්මනින්ම ඩිලිවරි කලා එනවා කියපු දවසටත් කලින්ම අවුලක් නැ භාණ්ඩේ සුපිරි.ඩිස්ප්ලේ එකත් මාරම ලස්සනයි ✅ 🔥මං හිතුවේ මේකෙ එක එක කනට හරියන විදියට රබර් කෑලිත් එයි කියලා ඒත් මේකේ ඒක තිබ්බෙ නැ.තව දෙයක් මේකෙ ගොඩක් අය කියනවා තරම් බේස් එකක් නෑ.Treble Sound තියෙන්නෙ.👍
34,one of the worst product I have ever received I donno how you guys even sell something that has broke actually I wanna return these you guys don't even consider my request
35,it is not that much good because when I'm using it makes a noise sound and also sometimes one side piece is not working and not connecting with charger clip
36,"I was pleasantly surprised by the M10 TWS earbuds. The sound quality is surprisingly good for the price, and they're comfortable to wear for extended periods. I would definitely recommend them to anyone looking for a budget-friendly option"
37,"At arrival the box was a bit damaged. But no harm was made to ths product it self. The earbuds work nicely, charges properly as well as the touch pads on the earbuds works well."
38,Earbuds are in good quality.sound is good and I got the package in 4 days.Also it has good battery health.It is a best quality item to order.
39,packin ekanam tikak awul. podi wela. e wagema meka right side eka charge wenna athin tikak thada karan inna ona. mena nam awlak naha danata
40,මේක ගොඩක් හොඳයි.අරගෙන දවසක් වෙනවා. sound නම් එච්චරටම හොඳ නෑ. හැබැයි ඒක එච්චරටම අවුලක් නෑ ශේප්.හැබැයි ගත්තු ගානට වටිනවා. ගොඩක් වෙලා යනකම් charge එක බහින්නෙ නෑ.
41,පට්ට sound එහෙම හොදයි එත් පොඩි අවුලක් තිබ්බ ගේද්දී box එක damage වෙලා තිබ්බ අනික් වෙන අවුලක් නම් නෑ සුපිරියි ගත්තේ 940 ඒඑ ගණට පට්ටම usefull 🥹
42,Sounds balanz na meke sasde madi Damej thiyenawa Return apu rkakda koheda meka battry ikmanata bhinwA
43,"🥳𝗦𝘂𝗽𝗲𝗿𝗯 & 𝔼𝕩𝕖𝕝𝕝𝕖𝕟𝕥!👏 😃😎😊Great product for the price. There is a high Sound Volume. The display is a little frosted, but that's not a problem. 😌But the charge goes down a little quickly. Anyone can take it without fear or doubt...🙌👍👌"
44,Sound නම් ගොඩක් අවුල් 😕 Surround වැඩියි Tutor වැඩියි. පැඃඇදිලි නැ ඒ නිසා Sound. කනට ගොඩක් අමාරුයි. ගෝෂාකාරියි. වෙන නම් අවුලක් නැ 😒
45,Sounds better that m10 this is m20 earbuds really good but i don't like the eye design and it has type c port
46,ගෙවන ගානට ඇත්තටම වටිනවා. Sounds හොඳයි . හැබැයි delivery කරන කෙනා හරියට ඉතුරු සල්ලි දෙන්නේ නෑ ඉල්ලන්න කලින් යනවා.
47,හොද Product එකක් ගන්න ගානට වටිනව.Bass එකනම් සුපිරියටම තියෙයි.Sound Quality එකත් මරු.Battery Casing එක ටිකක් අවුල්.Earbuds 2 හොදයි.
